"CÃ³digo Completo";"Familia";"Referencia";"VersiÃ³n";"Color";"Nombre SAP";"Nombre Final ES";"Nombre Final EN";"Mueble";"DesignaciÃ³n";"LÃ­nea Comercial";"Medida Comercial";"Ancho (cm)";"Fondo (cm)";"Alto (cm)";"Peso (kg)";"Canto Puertas";"RH";"Armado";"Marca Propia"
"VBAN05-0003-000-1345";"VBAN05";"0003";"000";"1345";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS VOLCANICO AMAZONAS";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0100";"VBAN05";"0009";"000";"0100";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0368";"VBAN05";"0009";"000";"0368";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS TABACO CHIC";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0371";"VBAN05";"0009";"000";"0371";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS ARENA";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0387";"VBAN05";"0009";"000";"0387";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CHANTILLI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0388";"VBAN05";"0009";"000";"0388";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CAPUCCINO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0392";"VBAN05";"0009";"000";"0392";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS WENGUE";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0437";"VBAN05";"0009";"000";"0437";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0439";"VBAN05";"0009";"000";"0439";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS MITTE/TAMBO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0009-000-0442";"VBAN05";"0009";"000";"0442";"MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS GRACIA/SIKUANI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 25INX19IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"63X48";"62,4";"47,6";"48";"12";"CANTO 2 MM";"NA";"NO";"NA"
