"CÃ³digo","Nombre SAP","Nombre Final ES","Nombre Final EN"
"VBAN05-0009-000-0442","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS GRACIA/SIKUANI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0447","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CARBONO/BAUDO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0450","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS GLAZE","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0458","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS TRIBECA","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0493","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS AUSTRAL","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-1345","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS VOLCANICO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0010-000-0100","RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO","RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","MR BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0010-000-0437","RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SODER/ MALI","RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","MR BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0010-000-0439","RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS MITTE/TAMBO","RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","MR BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0010-000-0451","RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BOSCUS ESCANDINAVO","RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","MR BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0010-000-0484","RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SAGANO","RH MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","MR BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0012-000-0100","MUEBLE MONET ELEVADO LVM 63X48 BLANCO","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
"VBAN05-0012-000-0437","MUEBLE MONET ELEVADO LVM 63X48 SODER/MALI","MUEBLE ELEVADO MONET LIFE PARA LAVAMANOS 63X48 RFE CANTO 2 MM","MONET LIFE 25INX19IN WALL MOUNTED VANITY SFE 2MM EDGE BAND"
