file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class LVM 155X48.svg,Mueble elevado Macao class LVM 155X48,ELEVADO,Macao,155X48,NA,CLASS,NA,1,4a643446-9a11-4fb3-9668-b17286ee10b3,BAN12,0084,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=1; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class LVM 48x43.svg,Mueble elevado Macao class LVM 48x43,ELEVADO,Macao,48X43,NA,CLASS,NA,3,481c754a-163a-453b-b5ed-f63dd48419d9,BAN12,0081,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class LVM 63X48.svg,Mueble elevado Macao class LVM 63X48,ELEVADO,Macao,63X48,NA,CLASS,NA,6,542cd0e2-2fbf-40a2-af18-f75e78e91fee,BAN12,0010,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=6; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class LVM 79x48.svg,Mueble elevado Macao class LVM 79x48,ELEVADO,Macao,79X48,NA,CLASS,NA,4,29390187-1b01-41ba-ae36-bfeb8070b0b3,BAN12,0035,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=4; would_overwrite_refs=4; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class LVM 94X48.svg,Mueble elevado Macao class LVM 94X48,ELEVADO,Macao,94X48,NA,CLASS,NA,3,ef253218-f662-4d3f-b704-1fd56fe95a96,BAN12,0036,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao life  LVM 63X48.svg,Mueble elevado Macao life  LVM 63X48,ELEVADO,Macao,63X48,NA,LIFE,NA,1,7042f78f-1f84-45ba-8003-8aa634c16bd5,BAN05,0124,,,WOULD_APPLY,mode=strict; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao life LVM 48x43.svg,Mueble elevado Macao life LVM 48x43,ELEVADO,Macao,48X43,NA,LIFE,NA,1,ef8d895e-d116-42ab-bc30-27a2eda1ee71,BAN05,0127,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao life LVM 63X48.svg,Mueble elevado Macao life LVM 63X48,ELEVADO,Macao,63X48,NA,LIFE,NA,1,7042f78f-1f84-45ba-8003-8aa634c16bd5,BAN05,0124,,,WOULD_APPLY,mode=strict; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao life LVM 79X48.svg,Mueble elevado Macao life LVM 79X48,ELEVADO,Macao,79X48,NA,LIFE,NA,2,3b055839-6b8e-482b-9f5f-c5f4e9edce19,BAN05,0077,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Misus class LVM 63x48.svg,Mueble elevado Misus class LVM 63x48,ELEVADO,Misus,63X48,NA,CLASS,NA,4,f4fb0813-3120-4b5d-aff0-19804d747a23,BAN12,0088,,,WOULD_APPLY,mode=extended_base_ambiguous; would_update_refs=4; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Misus class LVM 79x48.svg,Mueble elevado Misus class LVM 79x48,ELEVADO,Misus,79X48,NA,CLASS,NA,4,6eafc037-9f99-44eb-aee2-9fa5dac87e88,BAN12,0089,,,WOULD_APPLY,mode=extended_base_ambiguous; would_update_refs=4; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Misus class LVM 94x48.svg,Mueble elevado Misus class LVM 94x48,ELEVADO,Misus,94X48,NA,CLASS,NA,2,96aca956-bfa4-4ab9-b101-4724211cdbf2,BAN12,0090,,,WOULD_APPLY,mode=extended_base_ambiguous; would_update_refs=2; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Misus life LVM 79x48.svg,Mueble elevado Misus life LVM 79x48,ELEVADO,Misus,79X48,NA,LIFE,NA,1,dd0b78fe-2d72-4de5-8247-2ba3e607c8dc,BAN05,0114,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
