file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Greco class LVM 63x48.svg,Mueble elevado Greco class LVM 63x48,ELEVADO,Greco,63X48,NA,CLASS,NA,3,600b69ac-6bbf-45d9-8350-4da825c4a035,BAN22,0005,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=eece808c-fde1-41ef-85b0-c61f5557bb17; updated_refs=3; overwritten_refs=0; skipped_refs=0; hash=86e93a61ced79ea5093d35dcd58acdaa894126c92e9486d5f074d1b73c03b5a5
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Greco class LVM 79x48.svg,Mueble elevado Greco class LVM 79x48,ELEVADO,Greco,79X48,NA,CLASS,NA,3,c0c0f060-25bf-4895-a954-3718ebf5fb4b,BAN22,0006,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=518f36c4-1446-419b-9a0b-ebf8ea54f811; updated_refs=3; overwritten_refs=0; skipped_refs=0; hash=8c2c9534f34198683e056a8c4fd95f3fd89247aa0aadb5c0d5badbc39c456f52
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Greco class LVM 94x48.svg,Mueble elevado Greco class LVM 94x48,ELEVADO,Greco,94X48,NA,CLASS,NA,2,930d2fb7-18b0-451b-a78b-a5be8c58e901,BAN22,0007,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=d8c7c63f-ec21-4778-8907-86b14d10c035; updated_refs=2; overwritten_refs=0; skipped_refs=0; hash=b2cdab9694f0e751e45fa1628fe5792b801bc83976adae40789e9f60422c51a6
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class  LVM 124X48.svg,Mueble elevado Macao class  LVM 124X48,ELEVADO,Macao,124X48,NA,CLASS,NA,4,fc2843f7-0852-4ccb-91ac-f6e336717adb,BAN12,0037,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=f17ffa3f-09da-4e9b-aa30-abe6bc0cff6a; updated_refs=4; overwritten_refs=0; skipped_refs=0; hash=141a935cec17d07cf479ac75f275cee97c5a0c2c029ea78544f0b248ec9c7ed1
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class LVM 155X48.svg,Mueble elevado Macao class LVM 155X48,ELEVADO,Macao,155X48,NA,CLASS,NA,1,4a643446-9a11-4fb3-9668-b17286ee10b3,BAN12,0084,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=b05f03d1-1038-4348-ab22-b6efdf2e1176; updated_refs=1; overwritten_refs=0; skipped_refs=0; hash=d062e029ea30b440159befea558d4b2448295ae952a281c8b3af1cc6071046e1
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class LVM 48x43.svg,Mueble elevado Macao class LVM 48x43,ELEVADO,Macao,48X43,NA,CLASS,NA,3,481c754a-163a-453b-b5ed-f63dd48419d9,BAN12,0081,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=e37b9cf2-365b-4506-bbb9-2a985713fb08; updated_refs=3; overwritten_refs=0; skipped_refs=0; hash=42b15c47610c7ffbd8e04fde725af3a1b17b911e8c6b9bc90cb68d6d1b052857
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class LVM 63X48.svg,Mueble elevado Macao class LVM 63X48,ELEVADO,Macao,63X48,NA,CLASS,NA,6,542cd0e2-2fbf-40a2-af18-f75e78e91fee,BAN12,0010,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=4fef3fbd-c683-4c50-9ab1-7cf8b91879f4; updated_refs=6; overwritten_refs=2; skipped_refs=0; hash=93e4b66ca96bed8d36593fd7a357ddf72e2e14451905717429803cbad141e53b
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class LVM 79x48.svg,Mueble elevado Macao class LVM 79x48,ELEVADO,Macao,79X48,NA,CLASS,NA,4,29390187-1b01-41ba-ae36-bfeb8070b0b3,BAN12,0035,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=1939b002-4e1e-480c-8182-27b39b6ee9bc; updated_refs=4; overwritten_refs=4; skipped_refs=0; hash=b128e94ab0f666bd3b62691d8fe1b4aed330e7cdf3dd8a2b82ba7840a0c052f5
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao class LVM 94X48.svg,Mueble elevado Macao class LVM 94X48,ELEVADO,Macao,94X48,NA,CLASS,NA,3,ef253218-f662-4d3f-b704-1fd56fe95a96,BAN12,0036,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=2be2bb6e-5c96-4c89-91d3-72b26bf973be; updated_refs=3; overwritten_refs=0; skipped_refs=0; hash=84bde5a2af060cd679ed6419af5ff4727f2b3c5850c18df31c3b548ddaa5ac7d
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao life LVM 48x43.svg,Mueble elevado Macao life LVM 48x43,ELEVADO,Macao,48X43,NA,LIFE,NA,1,ef8d895e-d116-42ab-bc30-27a2eda1ee71,BAN05,0127,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=2835cd73-958e-4eb4-a3d2-ff245511f108; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=17bfe254766c9e279054f7c5887d00a94cedb1d720c6f119d71264c293a7d4cd
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao life LVM 63X48.svg,Mueble elevado Macao life LVM 63X48,ELEVADO,Macao,63X48,NA,LIFE,NA,1,7042f78f-1f84-45ba-8003-8aa634c16bd5,BAN05,0124,,,,,,APPLIED,mode=strict; asset_id=b11a28cc-2064-479e-b59d-238000cb6edb; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=a487a933ceeb585c2ef39123bd012dd626b13c43b6121060ec3e14e83ffca8fb
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Macao life LVM 79X48.svg,Mueble elevado Macao life LVM 79X48,ELEVADO,Macao,79X48,NA,LIFE,NA,2,3b055839-6b8e-482b-9f5f-c5f4e9edce19,BAN05,0077,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=6fa6d870-5cca-43ae-ac68-e07303fd82c6; updated_refs=2; overwritten_refs=2; skipped_refs=0; hash=e063b304fe4ee3de6386154f32ef8626e49b145c561b61af21663547fd9eae7e
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Misus class LVM 63x48.svg,Mueble elevado Misus class LVM 63x48,ELEVADO,Misus,63X48,NA,CLASS,NA,4,f4fb0813-3120-4b5d-aff0-19804d747a23,BAN12,0088,,,,,,APPLIED,mode=extended_base_ambiguous; asset_id=eeff150d-d789-4bd7-9ca8-3d801e2c805b; updated_refs=4; overwritten_refs=1; skipped_refs=0; hash=dd16e958813c50b332e32838e0132f33c507256811cac86ef93122d401fbb043
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Misus class LVM 79x48.svg,Mueble elevado Misus class LVM 79x48,ELEVADO,Misus,79X48,NA,CLASS,NA,4,6eafc037-9f99-44eb-aee2-9fa5dac87e88,BAN12,0089,,,,,,APPLIED,mode=extended_base_ambiguous; asset_id=cad268e9-3cc2-4b27-a3d7-637a7a01b21d; updated_refs=4; overwritten_refs=4; skipped_refs=0; hash=d71a39497f6f9acb88dbd73d92c8c2a2d818e4205982b3603dba48f9713413d5
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Misus class LVM 94x48.svg,Mueble elevado Misus class LVM 94x48,ELEVADO,Misus,94X48,NA,CLASS,NA,2,96aca956-bfa4-4ab9-b101-4724211cdbf2,BAN12,0090,,,,,,APPLIED,mode=extended_base_ambiguous; asset_id=f91b5dfd-b5a7-4620-a4a3-44ce97ac43f1; updated_refs=2; overwritten_refs=2; skipped_refs=0; hash=040f9e3318bdd659fb1004c42e24e3071247456e6f1c4c38530d727ade7fd5c5
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Misus life LVM 79x48.svg,Mueble elevado Misus life LVM 79x48,ELEVADO,Misus,79X48,NA,LIFE,NA,1,dd0b78fe-2d72-4de5-8247-2ba3e607c8dc,BAN05,0114,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=7b0446b6-e5af-4c57-bf2d-e5cc898e35ab; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=e5eb123d701d5f7ff1c60beb98e01c87914ebf67dfeb214f58d1107db4bdfa5f
